,Animal Number,gestation,weeks,visit_results_new,failed_count,parity
5771,17148,1,2,Dead milk time,1.0,Primiparous
5786,17148,1,16,Automatic robot stop,1.0,Primiparous
5787,17148,1,16,Connection attempt,1.0,Primiparous
5790,17148,1,18,Dead milk time,1.0,Primiparous
5795,17148,1,22,Automatic robot stop,1.0,Primiparous
5799,17148,1,25,Dead milk time,1.0,Primiparous
5804,17148,1,29,Automatic robot stop,1.0,Primiparous
5810,17148,1,34,Automatic robot stop,1.0,Primiparous
5879,17148,3,14,Automatic robot stop,1.0,Multiparous
5898,17148,3,32,Dead milk time,2.0,Multiparous
5975,17151,3,36,Dead milk time,1.0,Multiparous
6017,17151,4,40,Dead milk time,1.0,Multiparous
6030,17216,1,14,Connection time,2.0,Primiparous
6043,17216,1,26,Connection attempt,1.0,Primiparous
6052,17216,1,34,Connection attempt,1.0,Primiparous
6054,17216,1,35,Automatic robot stop,1.0,Primiparous
6057,17216,1,37,Stopped by user,1.0,Primiparous
6083,17216,2,20,Dead milk time,1.0,Multiparous
6100,17216,2,36,Automatic robot stop,1.0,Multiparous
6206,17271,1,15,Connection attempt,2.0,Primiparous
6208,17271,1,16,Connection time,1.0,Primiparous
6215,17271,2,6,Dead milk time,1.0,Multiparous
6260,17271,3,2,Automatic robot stop,1.0,Multiparous
6264,17271,3,5,Dead milk time,1.0,Multiparous
6297,17271,3,37,Dead milk time,1.0,Multiparous
6354,17306,4,5,Dead milk time,1.0,Multiparous
6371,17306,4,21,Automatic robot stop,1.0,Multiparous
6378,17306,4,27,Dead milk time,1.0,Multiparous
6388,17306,4,36,Connection attempt,1.0,Multiparous
6396,17320,1,3,Connection attempt,1.0,Primiparous
6406,17320,2,6,Dead milk time,1.0,Multiparous
6412,17320,2,11,Dead milk time,1.0,Multiparous
6430,17320,2,31,Automatic robot stop,1.0,Multiparous
6437,17320,2,37,Automatic robot stop,1.0,Multiparous
6441,17320,2,40,Automatic robot stop,1.0,Multiparous
6456,17320,3,14,Automatic robot stop,1.0,Multiparous
6462,17320,3,19,Automatic robot stop,1.0,Multiparous
6465,17320,3,21,Dead milk time,1.0,Multiparous
6484,17320,4,18,Automatic robot stop,1.0,Multiparous
6490,17320,4,23,Automatic robot stop,1.0,Multiparous
6510,17320,4,42,Connection time,1.0,Multiparous
6514,17335,4,2,Connection time,1.0,Multiparous
6548,17369,1,8,Automatic robot stop,1.0,Primiparous
6558,17369,1,17,Connection attempt,1.0,Primiparous
6561,17369,1,19,Connection time,1.0,Primiparous
6562,17369,1,19,Dead milk time,3.0,Primiparous
6600,17369,2,16,Dead milk time,2.0,Multiparous
6634,17369,3,6,Connection attempt,1.0,Multiparous
6672,17369,4,2,Dead milk time,2.0,Multiparous
6686,17369,4,15,Dead milk time,2.0,Multiparous
6716,17380,4,2,Connection attempt,7.0,Multiparous
6718,17380,4,3,Connection attempt,2.0,Multiparous
6724,17380,4,8,Connection attempt,1.0,Multiparous
6733,17380,4,16,Dead milk time,1.0,Multiparous
6736,17380,4,18,Connection attempt,1.0,Multiparous
6738,17380,4,19,Connection attempt,2.0,Multiparous
6740,17380,4,20,Connection time,1.0,Multiparous
6741,17380,4,20,Dead milk time,1.0,Multiparous
6745,17380,4,23,Connection attempt,1.0,Multiparous
6753,17380,4,30,Connection time,2.0,Multiparous
6755,17380,4,31,Connection attempt,2.0,Multiparous
6763,17380,4,38,Connection attempt,1.0,Multiparous
6770,17381,1,2,Connection attempt,1.0,Primiparous
6772,17381,1,3,Connection attempt,9.0,Primiparous
6774,17381,1,4,Connection attempt,2.0,Primiparous
6785,17381,2,12,Connection time,2.0,Multiparous
6787,17381,2,13,Connection time,1.0,Multiparous
6790,17381,2,15,Connection time,2.0,Multiparous
6792,17381,2,16,Connection time,13.0,Multiparous
6794,17381,2,17,Connection time,3.0,Multiparous
6796,17381,2,18,Connection time,1.0,Multiparous
6798,17381,2,19,Connection time,1.0,Multiparous
6808,17381,2,31,Connection attempt,1.0,Multiparous
6816,17381,2,38,Connection attempt,1.0,Multiparous
6817,17381,2,38,Connection time,1.0,Multiparous
6832,17381,3,2,Connection attempt,1.0,Multiparous
6919,17439,4,4,Connection attempt,1.0,Multiparous
6938,17439,4,22,Dead milk time,2.0,Multiparous
6956,17440,2,9,Connection attempt,1.0,Multiparous
6957,17440,2,9,Dead milk time,1.0,Multiparous
6959,17440,2,10,Connection time,1.0,Multiparous
6994,17440,3,4,Connection time,1.0,Multiparous
7017,17440,3,26,Connection attempt,1.0,Multiparous
7033,17440,3,41,Connection attempt,1.0,Multiparous
7039,17440,4,4,Connection time,3.0,Multiparous
7046,17440,4,10,Dead milk time,1.0,Multiparous
7069,17440,4,32,Dead milk time,1.0,Multiparous
7110,17478,4,8,Dead milk time,3.0,Multiparous
7156,17487,4,21,Automatic robot stop,1.0,Multiparous
7163,17487,4,27,Dead milk time,1.0,Multiparous
7167,17487,4,30,Dead milk time,2.0,Multiparous
7169,17525,1,4,Connection time,1.0,Primiparous
7171,17525,1,5,Connection time,1.0,Primiparous
7209,17525,1,42,Dead milk time,1.0,Primiparous
7270,17525,3,9,Connection attempt,1.0,Multiparous
7280,17525,3,18,Dead milk time,1.0,Multiparous
7286,17525,3,23,Connection attempt,1.0,Multiparous
7290,17525,3,26,Connection attempt,1.0,Multiparous
7298,17525,3,33,Connection time,1.0,Multiparous
7303,17525,3,37,Connection time,1.0,Multiparous
7306,17525,3,39,Connection time,2.0,Multiparous
7310,17525,3,42,Connection time,3.0,Multiparous
7327,17532,3,15,Dead milk time,1.0,Multiparous
7333,17532,3,21,Connection attempt,1.0,Multiparous
7381,17538,4,21,Dead milk time,1.0,Multiparous
7396,17560,1,5,Connection time,1.0,Primiparous
7402,17560,1,10,Connection attempt,1.0,Primiparous
7410,17560,1,17,Connection time,1.0,Primiparous
7416,17560,1,22,Connection attempt,1.0,Primiparous
7425,17560,1,30,Connection time,1.0,Primiparous
7434,17560,1,38,Connection time,1.0,Primiparous
7436,17560,1,39,Connection time,1.0,Primiparous
7437,17560,1,39,Dead milk time,1.0,Primiparous
7440,17560,1,41,Connection time,1.0,Primiparous
7443,17560,2,3,Connection time,1.0,Multiparous
7459,17560,2,21,Dead milk time,1.0,Multiparous
7464,17560,2,25,Dead milk time,1.0,Multiparous
7472,17560,2,32,Dead milk time,1.0,Multiparous
7474,17560,2,33,Dead milk time,1.0,Multiparous
7506,17560,3,24,Stopped by user,1.0,Multiparous
7527,17560,4,2,Connection attempt,1.0,Multiparous
7529,17560,4,3,Connection attempt,2.0,Multiparous
7530,17560,4,3,Dead milk time,1.0,Multiparous
7532,17560,4,4,Dead milk time,1.0,Multiparous
7545,17560,4,16,Dead milk time,1.0,Multiparous
7555,17560,4,25,Dead milk time,1.0,Multiparous
7574,17560,4,43,Dead milk time,1.0,Multiparous
7591,17583,4,19,Connection attempt,1.0,Multiparous
7635,17634,2,44,Connection time,1.0,Multiparous
7637,17634,2,45,Connection time,1.0,Multiparous
7639,17634,2,46,Dead milk time,1.0,Multiparous
7667,17634,3,25,Connection attempt,1.0,Multiparous
7675,17634,3,32,Connection attempt,1.0,Multiparous
7682,17634,3,38,Dead milk time,1.0,Multiparous
7706,17634,4,16,Dead milk time,2.0,Multiparous
7716,17649,4,4,Dead milk time,1.0,Multiparous
7727,17649,4,14,Dead milk time,1.0,Multiparous
7746,17680,1,2,Connection time,1.0,Primiparous
7773,17680,1,28,Connection time,1.0,Primiparous
7791,17680,1,45,Other,1.0,Primiparous
7796,17680,2,2,Connection attempt,1.0,Multiparous
7797,17680,2,2,Dead milk time,1.0,Multiparous
7808,17680,2,15,Connection attempt,1.0,Multiparous
7813,17680,2,19,Automatic robot stop,1.0,Multiparous
7822,17680,2,27,Connection time,1.0,Multiparous
7836,17680,2,40,Dead milk time,1.0,Multiparous
7869,17680,3,30,Connection attempt,1.0,Multiparous
7893,17680,3,53,Dead milk time,1.0,Multiparous
7916,17680,3,75,Dead milk time,1.0,Multiparous
7918,17680,3,76,Connection time,4.0,Multiparous
7919,17680,3,76,Dead milk time,9.0,Multiparous
7922,17683,1,4,Connection attempt,1.0,Primiparous
7924,17683,1,5,Connection attempt,5.0,Primiparous
7925,17683,1,5,Connection time,3.0,Primiparous
7927,17683,1,6,Connection attempt,7.0,Primiparous
7929,17683,1,7,Connection attempt,10.0,Primiparous
7931,17683,1,8,Connection attempt,11.0,Primiparous
7933,17683,1,9,Connection attempt,6.0,Primiparous
7935,17683,1,10,Connection time,1.0,Primiparous
7936,17683,1,10,Dead milk time,1.0,Primiparous
7994,17683,3,20,Dead milk time,1.0,Multiparous
8023,17683,4,8,Connection attempt,1.0,Multiparous
8027,17683,4,11,Stopped by user,1.0,Multiparous
8031,17683,4,14,Dead milk time,1.0,Multiparous
8034,17683,4,16,Dead milk time,2.0,Multiparous
8040,17683,4,21,Dead milk time,1.0,Multiparous
8042,17683,4,22,Dead milk time,1.0,Multiparous
8052,17683,4,31,Dead milk time,1.0,Multiparous
8057,17705,4,2,Connection time,1.0,Multiparous
8060,17705,4,4,Connection attempt,1.0,Multiparous
8070,17705,4,13,Dead milk time,1.0,Multiparous
8073,17705,4,15,Automatic robot stop,1.0,Multiparous
8081,17705,4,22,Dead milk time,1.0,Multiparous
8123,17724,4,6,Dead milk time,1.0,Multiparous
8128,17724,4,10,Dead milk time,1.0,Multiparous
8159,17735,4,13,Connection time,1.0,Multiparous
8167,17735,4,20,Connection time,1.0,Multiparous
8181,17772,4,3,Connection time,1.0,Multiparous
8188,17772,4,9,Connection attempt,1.0,Multiparous
8195,17772,4,15,Dead milk time,1.0,Multiparous
8201,17772,4,20,Dead milk time,1.0,Multiparous
8204,17772,4,22,Dead milk time,2.0,Multiparous
8209,17772,4,26,Dead milk time,1.0,Multiparous
8211,17772,4,27,Connection time,1.0,Multiparous
8213,17772,4,28,Connection attempt,1.0,Multiparous
8216,17772,4,30,Dead milk time,1.0,Multiparous
8223,17796,4,4,Automatic robot stop,2.0,Multiparous
8265,17810,4,17,Connection attempt,1.0,Multiparous
8279,17814,1,2,Connection attempt,1.0,Primiparous
8281,17814,1,3,Connection attempt,10.0,Primiparous
8283,17814,1,4,Connection attempt,4.0,Primiparous
8289,17814,1,9,Dead milk time,1.0,Primiparous
8295,17814,1,14,Automatic robot stop,1.0,Primiparous
8304,17814,1,22,Connection time,1.0,Primiparous
8309,17814,1,26,Connection attempt,1.0,Primiparous
8316,17814,1,32,Connection attempt,1.0,Primiparous
8319,17814,1,34,Dead milk time,1.0,Primiparous
8329,17814,1,43,Automatic robot stop,1.0,Primiparous
8330,17814,1,43,Connection attempt,1.0,Primiparous
8331,17814,1,43,Dead milk time,1.0,Primiparous
8375,17814,2,35,Dead milk time,1.0,Multiparous
8402,17814,3,17,Connection time,1.0,Multiparous
8404,17814,3,18,Connection time,1.0,Multiparous
8407,17814,3,20,Connection time,2.0,Multiparous
8409,17814,3,21,Connection attempt,1.0,Multiparous
8410,17814,3,21,Dead milk time,1.0,Multiparous
8412,17814,3,22,Automatic robot stop,2.0,Multiparous
8419,17814,3,28,Dead milk time,1.0,Multiparous
8423,17814,3,31,Automatic robot stop,1.0,Multiparous
8428,17814,3,35,Dead milk time,1.0,Multiparous
8455,17817,4,5,Dead milk time,1.0,Multiparous
8466,17817,4,15,Dead milk time,2.0,Multiparous
8471,17817,4,19,Dead milk time,1.0,Multiparous
8482,17821,2,4,Stopped by user,1.0,Multiparous
8485,17821,2,6,Connection attempt,2.0,Multiparous
8490,17821,2,13,Dead milk time,1.0,Multiparous
8558,17821,3,39,Connection attempt,1.0,Multiparous
8565,17821,4,4,Connection time,1.0,Multiparous
8603,17824,1,9,Connection attempt,1.0,Primiparous
8605,17824,1,10,Connection attempt,1.0,Primiparous
8609,17824,1,13,Connection attempt,1.0,Primiparous
8611,17824,1,14,Stopped by user,1.0,Primiparous
8649,17824,2,3,Connection attempt,1.0,Multiparous
8690,17824,3,29,Stopped by user,1.0,Multiparous
8694,17824,3,32,Connection attempt,1.0,Multiparous
8717,17824,4,3,Connection attempt,1.0,Multiparous
8763,17875,4,6,Connection time,1.0,Multiparous
8765,17875,4,7,Connection time,1.0,Multiparous
8768,17875,4,9,Connection time,2.0,Multiparous
8770,17875,4,10,Connection time,2.0,Multiparous
8773,17875,4,12,Connection time,1.0,Multiparous
8777,17875,4,15,Connection time,2.0,Multiparous
8779,17875,4,16,Connection time,1.0,Multiparous
8782,17875,4,18,Connection attempt,1.0,Multiparous
8783,17875,4,18,Connection time,1.0,Multiparous
8785,17875,4,19,Connection time,2.0,Multiparous
8787,17875,4,20,Connection attempt,1.0,Multiparous
8788,17875,4,20,Connection time,2.0,Multiparous
8791,17875,4,22,Connection time,1.0,Multiparous
8793,17875,4,23,Connection time,1.0,Multiparous
8795,17875,4,24,Connection time,6.0,Multiparous
8797,17875,4,25,Connection time,5.0,Multiparous
8799,17875,4,26,Connection time,1.0,Multiparous
8801,17875,4,27,Connection time,2.0,Multiparous
8803,17875,4,28,Connection time,3.0,Multiparous
8815,17905,4,10,Connection attempt,1.0,Multiparous
8871,17927,1,5,Connection attempt,1.0,Primiparous
8877,17927,1,10,Automatic robot stop,1.0,Primiparous
8878,17927,1,10,Dead milk time,1.0,Primiparous
8880,17927,1,11,Other,1.0,Primiparous
8921,17927,2,9,Connection attempt,1.0,Multiparous
8935,17927,2,22,Connection attempt,1.0,Multiparous
8944,17927,2,30,Connection attempt,1.0,Multiparous
8960,17927,2,45,Connection time,2.0,Multiparous
8964,17927,2,48,Connection time,2.0,Multiparous
8965,17927,2,48,Dead milk time,1.0,Multiparous
8967,17927,2,49,Connection time,5.0,Multiparous
8970,17927,3,3,Dead milk time,1.0,Multiparous
9054,17933,3,26,Dead milk time,1.0,Multiparous
9066,17933,3,37,Connection attempt,1.0,Multiparous
9092,17978,3,36,Connection time,1.0,Multiparous
9094,17978,3,37,Connection attempt,1.0,Multiparous
9096,17978,3,38,Connection time,1.0,Multiparous
9098,17978,3,39,Connection attempt,1.0,Multiparous
9099,17978,3,39,Connection time,2.0,Multiparous
9101,17978,3,40,Connection time,1.0,Multiparous
9103,17978,3,41,Connection time,1.0,Multiparous
9105,17978,3,42,Connection attempt,1.0,Multiparous
9107,17978,3,43,Connection time,1.0,Multiparous
9115,17990,1,13,Dead milk time,1.0,Primiparous
9120,17990,1,17,Dead milk time,1.0,Primiparous
9139,17990,1,35,Dead milk time,2.0,Primiparous
9143,17990,1,38,Connection attempt,1.0,Primiparous
9151,17993,4,2,Connection time,1.0,Multiparous
9153,17993,4,3,Connection attempt,1.0,Multiparous
9154,17993,4,3,Dead milk time,1.0,Multiparous
9156,17993,4,4,Connection time,2.0,Multiparous
9159,17993,4,6,Connection attempt,1.0,Multiparous
9161,17993,4,7,Connection attempt,2.0,Multiparous
9163,17993,4,8,Connection attempt,1.0,Multiparous
9165,17993,4,9,Connection time,2.0,Multiparous
9167,17993,4,10,Connection attempt,1.0,Multiparous
9168,17993,4,10,Connection time,1.0,Multiparous
9170,17993,4,11,Connection time,1.0,Multiparous
9172,17993,4,12,Connection time,2.0,Multiparous
9175,17993,4,14,Connection attempt,1.0,Multiparous
9177,17993,4,15,Connection attempt,2.0,Multiparous
9178,17993,4,15,Connection time,1.0,Multiparous
9181,17993,4,17,Connection attempt,1.0,Multiparous
9183,17993,4,18,Connection attempt,1.0,Multiparous
9185,17993,4,19,Connection attempt,1.0,Multiparous
9189,17993,4,22,Connection attempt,2.0,Multiparous
9193,17993,4,25,Connection time,1.0,Multiparous
9238,17995,3,43,Stopped by user,1.0,Multiparous
9278,18020,3,24,Dead milk time,1.0,Multiparous
9281,18020,3,26,Connection attempt,1.0,Multiparous
9321,18022,1,26,Automatic robot stop,1.0,Primiparous
9371,18022,2,37,Automatic robot stop,1.0,Multiparous
9398,18022,3,21,Dead milk time,1.0,Multiparous
9403,18022,3,25,Connection attempt,1.0,Multiparous
9404,18022,3,25,Dead milk time,1.0,Multiparous
9437,18022,4,16,Dead milk time,1.0,Multiparous
9441,18026,4,3,Automatic robot stop,1.0,Multiparous
9442,18026,4,3,Connection attempt,2.0,Multiparous
9444,18026,4,4,Connection attempt,2.0,Multiparous
9446,18026,4,5,Connection attempt,1.0,Multiparous
9448,18026,4,6,Connection time,2.0,Multiparous
9450,18026,4,7,Connection attempt,3.0,Multiparous
9451,18026,4,7,Connection time,1.0,Multiparous
9453,18026,4,8,Connection attempt,2.0,Multiparous
9454,18026,4,8,Connection time,1.0,Multiparous
9456,18026,4,9,Connection attempt,1.0,Multiparous
9457,18026,4,9,Connection time,2.0,Multiparous
9459,18026,4,10,Connection time,1.0,Multiparous
9461,18026,4,11,Connection attempt,5.0,Multiparous
9462,18026,4,11,Connection time,2.0,Multiparous
9464,18026,4,12,Connection attempt,4.0,Multiparous
9465,18026,4,12,Connection time,4.0,Multiparous
9467,18026,4,13,Connection attempt,3.0,Multiparous
9469,18026,4,14,Connection attempt,1.0,Multiparous
9470,18026,4,14,Connection time,1.0,Multiparous
9472,18026,4,15,Connection attempt,3.0,Multiparous
9473,18026,4,15,Connection time,3.0,Multiparous
9475,18026,4,16,Connection attempt,4.0,Multiparous
9476,18026,4,16,Connection time,6.0,Multiparous
9478,18026,4,17,Connection attempt,1.0,Multiparous
9479,18026,4,17,Connection time,2.0,Multiparous
9481,18026,4,18,Connection attempt,2.0,Multiparous
9482,18026,4,18,Connection time,3.0,Multiparous
9484,18026,4,19,Connection attempt,1.0,Multiparous
9485,18026,4,19,Connection time,6.0,Multiparous
9487,18026,4,20,Connection attempt,3.0,Multiparous
9488,18026,4,20,Connection time,4.0,Multiparous
9490,18026,4,21,Connection attempt,2.0,Multiparous
9492,18026,4,22,Connection attempt,2.0,Multiparous
9493,18026,4,22,Connection time,2.0,Multiparous
9495,18026,4,23,Connection time,2.0,Multiparous
9497,18026,4,24,Connection time,2.0,Multiparous
9499,18026,4,25,Connection attempt,1.0,Multiparous
9500,18026,4,25,Connection time,1.0,Multiparous
9502,18026,4,26,Connection attempt,1.0,Multiparous
9503,18026,4,26,Connection time,1.0,Multiparous
9507,18026,4,29,Connection attempt,1.0,Multiparous
9532,18033,1,41,Connection attempt,1.0,Primiparous
9535,18033,1,43,Connection attempt,1.0,Primiparous
9541,18033,4,2,Connection attempt,2.0,Multiparous
9552,18033,4,12,Connection attempt,1.0,Multiparous
9586,18038,3,30,Dead milk time,2.0,Multiparous
9603,18043,3,15,Connection attempt,1.0,Multiparous
9605,18043,3,16,Dead milk time,1.0,Multiparous
9609,18043,3,19,Connection attempt,1.0,Multiparous
9613,18043,3,22,Dead milk time,1.0,Multiparous
9671,18051,3,7,Dead milk time,1.0,Multiparous
9675,18051,3,10,Dead milk time,2.0,Multiparous
9702,18051,3,36,Connection attempt,1.0,Multiparous
9709,18051,3,42,Automatic robot stop,1.0,Multiparous
9758,18084,3,11,Connection attempt,1.0,Multiparous
9773,18084,3,25,Dead milk time,1.0,Multiparous
9776,18084,3,27,Connection attempt,1.0,Multiparous
9778,18084,3,28,Automatic robot stop,1.0,Multiparous
9781,18084,3,30,Dead milk time,2.0,Multiparous
9785,18084,3,33,Dead milk time,2.0,Multiparous
9804,18084,4,3,Connection time,1.0,Multiparous
9823,18085,3,15,Connection attempt,1.0,Multiparous
9827,18085,3,18,Dead milk time,1.0,Multiparous
9864,18088,1,13,Connection time,1.0,Primiparous
9870,18088,1,18,Connection time,1.0,Primiparous
9886,18088,1,33,Connection attempt,1.0,Primiparous
9888,18088,1,34,Stopped by user,1.0,Primiparous
9903,18088,1,51,Dead milk time,1.0,Primiparous
9971,18088,3,16,Automatic robot stop,1.0,Multiparous
9987,18088,3,31,Stopped by user,1.0,Multiparous
10010,18166,3,8,Connection attempt,1.0,Multiparous
10017,18166,3,14,Connection attempt,1.0,Multiparous
10023,18166,3,19,Dead milk time,3.0,Multiparous
10025,18166,3,20,Connection attempt,1.0,Multiparous
10026,18166,3,20,Dead milk time,5.0,Multiparous
10033,18166,3,26,Dead milk time,1.0,Multiparous
10035,18166,3,27,Dead milk time,1.0,Multiparous
10042,18166,3,33,Connection time,1.0,Multiparous
10049,18166,3,39,Connection time,1.0,Multiparous
10054,18166,4,3,Connection attempt,1.0,Multiparous
10074,18168,3,7,Dead milk time,2.0,Multiparous
10080,18168,3,12,Dead milk time,1.0,Multiparous
10083,18168,3,14,Dead milk time,1.0,Multiparous
10119,18208,3,2,Dead milk time,1.0,Multiparous
10152,18208,3,34,Automatic robot stop,1.0,Multiparous
10177,18225,1,21,Other,1.0,Primiparous
10201,18225,2,24,Dead milk time,1.0,Multiparous
10213,18225,2,35,Dead milk time,1.0,Multiparous
10216,18225,2,37,Dead milk time,1.0,Multiparous
10231,18225,3,10,Dead milk time,1.0,Multiparous
10237,18225,3,15,Dead milk time,1.0,Multiparous
10242,18225,3,19,Dead milk time,1.0,Multiparous
10251,18225,3,27,Connection time,1.0,Multiparous
10252,18225,3,27,Dead milk time,1.0,Multiparous
10286,18246,3,26,Automatic robot stop,1.0,Multiparous
10289,18246,3,28,Automatic robot stop,1.0,Multiparous
10291,18246,3,29,Connection attempt,1.0,Multiparous
10293,18246,3,30,Dead milk time,1.0,Multiparous
10314,18246,3,50,Automatic robot stop,1.0,Multiparous
10327,18259,1,7,Connection time,1.0,Primiparous
10333,18259,1,12,Stopped by user,1.0,Primiparous
10347,18259,1,25,Stopped by user,1.0,Primiparous
10353,18259,1,30,Dead milk time,1.0,Primiparous
10354,18259,1,30,Stopped by user,1.0,Primiparous
10358,18259,1,33,Automatic robot stop,1.0,Primiparous
10360,18259,1,34,Connection attempt,1.0,Primiparous
10361,18259,1,34,Connection time,1.0,Primiparous
10389,18259,2,16,Connection attempt,1.0,Multiparous
10397,18259,2,23,Stopped by user,1.0,Multiparous
10418,18259,2,43,Connection time,4.0,Multiparous
10420,18259,2,44,Connection time,3.0,Multiparous
10481,18263,3,9,Automatic robot stop,1.0,Multiparous
10498,18263,3,25,Dead milk time,1.0,Multiparous
10523,18284,3,4,Connection attempt,1.0,Multiparous
10525,18284,3,5,Dead milk time,1.0,Multiparous
10530,18284,3,11,Connection time,1.0,Multiparous
10531,18284,3,11,Dead milk time,2.0,Multiparous
10533,18284,3,12,Dead milk time,2.0,Multiparous
10537,18284,3,15,Dead milk time,4.0,Multiparous
10540,18295,3,3,Dead milk time,1.0,Multiparous
10544,18295,3,6,Connection attempt,1.0,Multiparous
10551,18295,3,13,Automatic robot stop,1.0,Multiparous
10569,18295,3,30,Connection time,1.0,Multiparous
10570,18295,3,30,Dead milk time,1.0,Multiparous
10572,18295,3,31,Connection time,6.0,Multiparous
10574,18295,3,32,Connection time,7.0,Multiparous
10575,18295,3,32,Dead milk time,1.0,Multiparous
10579,18307,1,4,Connection attempt,1.0,Primiparous
10592,18307,1,16,Automatic robot stop,1.0,Primiparous
10594,18307,1,17,Connection time,1.0,Primiparous
10604,18307,1,26,Dead milk time,1.0,Primiparous
10675,18307,3,12,Automatic robot stop,1.0,Multiparous
10730,18318,3,2,Dead milk time,1.0,Multiparous
10732,18318,3,3,Dead milk time,1.0,Multiparous
10735,18318,3,5,Dead milk time,2.0,Multiparous
10737,18318,3,6,Dead milk time,1.0,Multiparous
10740,18318,3,8,Dead milk time,1.0,Multiparous
10742,18318,3,9,Dead milk time,1.0,Multiparous
10745,18318,3,11,Dead milk time,1.0,Multiparous
10748,18318,3,13,Dead milk time,2.0,Multiparous
10758,18318,3,22,Dead milk time,1.0,Multiparous
10768,18318,3,31,Dead milk time,1.0,Multiparous
10791,18321,1,11,Connection time,1.0,Primiparous
10793,18321,1,12,Connection time,1.0,Primiparous
10794,18321,1,12,Other,1.0,Primiparous
10797,18321,1,14,Connection time,1.0,Primiparous
10801,18321,1,17,Connection attempt,1.0,Primiparous
10808,18321,2,6,Connection time,2.0,Multiparous
10810,18321,2,7,Connection time,4.0,Multiparous
10813,18321,2,9,Connection attempt,1.0,Multiparous
10853,18321,3,2,Dead milk time,1.0,Multiparous
10867,18321,3,15,Connection attempt,1.0,Multiparous
10916,18324,1,5,Connection time,1.0,Primiparous
10936,18324,1,24,Connection time,1.0,Primiparous
10939,18324,1,26,Other,1.0,Primiparous
10949,18324,1,35,Connection time,1.0,Primiparous
10977,18324,2,15,Dead milk time,1.0,Multiparous
10980,18324,2,17,Dead milk time,1.0,Multiparous
11005,18324,2,41,Connection attempt,1.0,Multiparous
11026,18324,3,10,Connection time,1.0,Multiparous
11037,18324,3,20,Connection attempt,1.0,Multiparous
11041,18324,3,23,Connection attempt,1.0,Multiparous
11066,18324,3,47,Dead milk time,1.0,Multiparous
11080,18348,1,7,Automatic robot stop,1.0,Primiparous
11102,18348,1,28,Connection time,1.0,Primiparous
11105,18348,1,30,Connection attempt,1.0,Primiparous
11109,18348,1,33,Connection time,1.0,Primiparous
11120,18348,1,46,Connection time,1.0,Primiparous
11121,18348,1,46,Dead milk time,1.0,Primiparous
11126,18348,1,50,Connection time,2.0,Primiparous
11127,18348,1,50,Dead milk time,3.0,Primiparous
11129,18348,1,51,Connection time,1.0,Primiparous
11131,18348,1,52,Automatic robot stop,1.0,Primiparous
11135,18348,1,55,Connection time,3.0,Primiparous
11136,18348,1,55,Dead milk time,1.0,Primiparous
11138,18348,1,56,Connection time,3.0,Primiparous
11139,18348,1,56,Dead milk time,1.0,Primiparous
11142,18348,1,58,Connection time,3.0,Primiparous
11145,18348,1,60,Dead milk time,1.0,Primiparous
11150,18348,2,4,Dead milk time,1.0,Multiparous
11152,18348,2,5,Connection time,1.0,Multiparous
11157,18348,2,9,Connection time,2.0,Multiparous
11166,18348,2,17,Connection time,1.0,Multiparous
11170,18348,2,20,Connection time,2.0,Multiparous
11180,18348,2,29,Connection time,3.0,Multiparous
11182,18348,2,30,Connection time,1.0,Multiparous
11186,18348,2,33,Automatic robot stop,1.0,Multiparous
11188,18348,2,34,Automatic robot stop,1.0,Multiparous
11190,18348,2,35,Dead milk time,1.0,Multiparous
11194,18348,2,38,Connection time,1.0,Multiparous
11196,18348,2,39,Connection time,2.0,Multiparous
11198,18348,2,40,Connection time,1.0,Multiparous
11204,18348,2,45,Dead milk time,1.0,Multiparous
11206,18348,2,46,Dead milk time,1.0,Multiparous
11208,18348,2,47,Connection time,1.0,Multiparous
11210,18348,2,48,Automatic robot stop,1.0,Multiparous
11211,18348,2,48,Dead milk time,1.0,Multiparous
11213,18348,2,49,Dead milk time,1.0,Multiparous
11215,18348,2,50,Dead milk time,1.0,Multiparous
11219,18348,3,2,Connection time,1.0,Multiparous
11230,18348,3,12,Connection time,2.0,Multiparous
11232,18348,3,13,Connection time,2.0,Multiparous
11239,18348,3,19,Connection time,1.0,Multiparous
11246,18348,3,25,Dead milk time,1.0,Multiparous
11248,18348,3,26,Dead milk time,1.0,Multiparous
11254,18348,3,31,Connection time,1.0,Multiparous
11256,18348,3,32,Connection time,1.0,Multiparous
11258,18348,3,33,Connection time,1.0,Multiparous
11259,18348,3,33,Dead milk time,1.0,Multiparous
11261,18348,3,34,Connection time,2.0,Multiparous
11263,18348,3,35,Connection time,1.0,Multiparous
11265,18348,3,36,Connection time,1.0,Multiparous
11307,18351,2,20,Connection time,1.0,Multiparous
11309,18351,2,21,Connection attempt,1.0,Multiparous
11316,18351,2,27,Dead milk time,1.0,Multiparous
11328,18351,2,38,Automatic robot stop,1.0,Multiparous
11340,18351,2,49,Connection time,1.0,Multiparous
11346,18351,3,5,Dead milk time,1.0,Multiparous
11365,18351,3,23,Connection time,1.0,Multiparous
11368,18351,3,25,Dead milk time,1.0,Multiparous
11380,18351,3,36,Dead milk time,1.0,Multiparous
11382,18351,3,37,Connection time,1.0,Multiparous
11383,18351,3,37,Dead milk time,1.0,Multiparous
11385,18351,3,38,Connection time,1.0,Multiparous
